Link,Game ID,Away Team,Away Long,Away Score,Home Team,Home Long,Home Score,OT Ind
http://www.basketball-reference.com/boxscores/201010260BOS.html,201010260BOS,MIA,Miami Heat,80,BOS,Boston Celtics,88,RG
http://www.basketball-reference.com/boxscores/201010260LAL.html,201010260LAL,HOU,Houston Rockets,110,LAL,Los Angeles Lakers,112,RG
http://www.basketball-reference.com/boxscores/201010260POR.html,201010260POR,PHO,Phoenix Suns,92,POR,Portland Trail Blazers,106,RG
http://www.basketball-reference.com/boxscores/201010270CLE.html,201010270CLE,BOS,Boston Celtics,87,CLE,Cleveland Cavaliers,95,RG
http://www.basketball-reference.com/boxscores/201010270DAL.html,201010270DAL,CHA,Charlotte Bobcats,86,DAL,Dallas Mavericks,101,RG
http://www.basketball-reference.com/boxscores/201010270DEN.html,201010270DEN,UTA,Utah Jazz,88,DEN,Denver Nuggets,110,RG
http://www.basketball-reference.com/boxscores/201010270GSW.html,201010270GSW,HOU,Houston Rockets,128,GSW,Golden State Warriors,132,RG
http://www.basketball-reference.com/boxscores/201010270LAC.html,201010270LAC,POR,Portland Trail Blazers,98,LAC,Los Angeles Clippers,88,RG
http://www.basketball-reference.com/boxscores/201010270MEM.html,201010270MEM,ATL,Atlanta Hawks,119,MEM,Memphis Grizzlies,104,RG
http://www.basketball-reference.com/boxscores/201010270MIN.html,201010270MIN,SAC,Sacramento Kings,117,MIN,Minnesota Timberwolves,116,RG
http://www.basketball-reference.com/boxscores/201010270NJN.html,201010270NJN,DET,Detroit Pistons,98,NJN,New Jersey Nets,101,RG
http://www.basketball-reference.com/boxscores/201010270NOH.html,201010270NOH,MIL,Milwaukee Bucks,91,NOH,New Orleans Hornets,95,RG
http://www.basketball-reference.com/boxscores/201010270OKC.html,201010270OKC,CHI,Chicago Bulls,95,OKC,Oklahoma City Thunder,106,RG
http://www.basketball-reference.com/boxscores/201010270PHI.html,201010270PHI,MIA,Miami Heat,97,PHI,Philadelphia 76ers,87,RG
http://www.basketball-reference.com/boxscores/201010270SAS.html,201010270SAS,IND,Indiana Pacers,109,SAS,San Antonio Spurs,122,RG
http://www.basketball-reference.com/boxscores/201010270TOR.html,201010270TOR,NYK,New York Knicks,98,TOR,Toronto Raptors,93,RG
http://www.basketball-reference.com/boxscores/201010280ORL.html,201010280ORL,WAS,Washington Wizards,83,ORL,Orlando Magic,112,RG
http://www.basketball-reference.com/boxscores/201010280UTA.html,201010280UTA,PHO,Phoenix Suns,110,UTA,Utah Jazz,94,RG
http://www.basketball-reference.com/boxscores/201010290BOS.html,201010290BOS,NYK,New York Knicks,101,BOS,Boston Celtics,105,RG
http://www.basketball-reference.com/boxscores/201010290CHA.html,201010290CHA,IND,Indiana Pacers,104,CHA,Charlotte Bobcats,101,RG
http://www.basketball-reference.com/boxscores/201010290DAL.html,201010290DAL,MEM,Memphis Grizzlies,91,DAL,Dallas Mavericks,90,RG
http://www.basketball-reference.com/boxscores/201010290DET.html,201010290DET,OKC,Oklahoma City Thunder,105,DET,Detroit Pistons,104,RG
http://www.basketball-reference.com/boxscores/201010290GSW.html,201010290GSW,LAC,Los Angeles Clippers,91,GSW,Golden State Warriors,109,RG
http://www.basketball-reference.com/boxscores/201010290MIA.html,201010290MIA,ORL,Orlando Magic,70,MIA,Miami Heat,96,RG
http://www.basketball-reference.com/boxscores/201010290MIN.html,201010290MIN,MIL,Milwaukee Bucks,85,MIN,Minnesota Timberwolves,96,RG
http://www.basketball-reference.com/boxscores/201010290NJN.html,201010290NJN,SAC,Sacramento Kings,100,NJN,New Jersey Nets,106,RG
http://www.basketball-reference.com/boxscores/201010290NOH.html,201010290NOH,DEN,Denver Nuggets,95,NOH,New Orleans Hornets,101,RG
http://www.basketball-reference.com/boxscores/201010290PHI.html,201010290PHI,ATL,Atlanta Hawks,104,PHI,Philadelphia 76ers,101,RG
http://www.basketball-reference.com/boxscores/201010290PHO.html,201010290PHO,LAL,Los Angeles Lakers,114,PHO,Phoenix Suns,106,RG
http://www.basketball-reference.com/boxscores/201010290TOR.html,201010290TOR,CLE,Cleveland Cavaliers,81,TOR,Toronto Raptors,101,RG
http://www.basketball-reference.com/boxscores/201010300ATL.html,201010300ATL,WAS,Washington Wizards,95,ATL,Atlanta Hawks,99,RG
http://www.basketball-reference.com/boxscores/201010300CHI.html,201010300CHI,DET,Detroit Pistons,91,CHI,Chicago Bulls,101,RG
http://www.basketball-reference.com/boxscores/201010300CLE.html,201010300CLE,SAC,Sacramento Kings,107,CLE,Cleveland Cavaliers,104,RG
http://www.basketball-reference.com/boxscores/201010300HOU.html,201010300HOU,DEN,Denver Nuggets,107,HOU,Houston Rockets,94,RG
http://www.basketball-reference.com/boxscores/201010300IND.html,201010300IND,PHI,Philadelphia 76ers,86,IND,Indiana Pacers,99,RG
http://www.basketball-reference.com/boxscores/201010300MEM.html,201010300MEM,MIN,Minnesota Timberwolves,89,MEM,Memphis Grizzlies,109,RG
http://www.basketball-reference.com/boxscores/201010300MIL.html,201010300MIL,CHA,Charlotte Bobcats,88,MIL,Milwaukee Bucks,98,RG
http://www.basketball-reference.com/boxscores/201010300NYK.html,201010300NYK,POR,Portland Trail Blazers,100,NYK,New York Knicks,95,RG
http://www.basketball-reference.com/boxscores/201010300SAS.html,201010300SAS,NOH,New Orleans Hornets,99,SAS,San Antonio Spurs,90,RG
