Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,1990-91,22,POR,NBA,PF,43,0,290,6.8,14.4,0.474,0,0,0,6.8,14.4,0.474,3.1,5.5,0.568,3.4,7.7,11,1.5,0.5,1.5,2.7,4.8,16.8
Alaa Abdelnaby,1991-92,23,POR,NBA,PF,71,1,934,6.9,13.9,0.493,0,0,0,6.9,13.9,0.493,2.9,3.9,0.752,3.1,6.9,10,1.2,1,0.6,2.5,5.1,16.7
Alaa Abdelnaby,1992-93,24,TOT,NBA,PF,75,52,1311,6.7,13,0.518,0,0,0,6.7,13,0.519,2.4,3.2,0.759,3.5,5.8,9.3,0.7,0.7,0.7,2.7,5.2,15.9
Alaa Abdelnaby,1992-93,24,MIL,NBA,PF,12,0,159,5.9,12.7,0.464,0,0.2,0,5.9,12.5,0.473,2.7,3.6,0.75,2.7,5.7,8.4,2.3,1.4,0.9,2.9,5.4,14.5
Alaa Abdelnaby,1992-93,24,BOS,NBA,PF,63,52,1152,6.8,13,0.525,0,0,0,6.8,13,0.525,2.4,3.1,0.76,3.6,5.8,9.4,0.5,0.6,0.7,2.6,5.2,16.1
Alaa Abdelnaby,1993-94,25,BOS,NBA,PF,13,0,159,5.4,12.5,0.436,0,0,0,5.4,12.5,0.436,3.6,5.7,0.64,2.7,7.7,10.4,0.7,0.5,0.7,3.8,4.5,14.5
Alaa Abdelnaby,1994-95,26,TOT,NBA,PF,54,0,506,8.4,16.4,0.511,0,0.1,0,8.4,16.3,0.515,1.4,2.5,0.571,2.6,5.5,8.1,0.9,1.1,0.9,3.2,7.4,18.2
Alaa Abdelnaby,1994-95,26,SAC,NBA,PF,51,0,476,8.8,16.6,0.532,0,0.2,0,8.8,16.5,0.537,1.5,2.6,0.571,2.6,5.4,8,1,1.1,0.9,3,7.7,19.2
Alaa Abdelnaby,1994-95,26,PHI,NBA,PF,3,0,30,1.2,13.2,0.091,0,0,0,1.2,13.2,0.091,0,0,0,3.6,6,9.6,0,0,0,6,2.4,2.4
Zaid Abdul-Aziz,1968-69,22,TOT,NBA,C,49,0,945,5.5,14.9,0.369,0,0,0,5.5,14.9,0.369,2.7,4.3,0.619,0,0,15.6,1.4,0,0,0,4.4,13.6
Zaid Abdul-Aziz,1968-69,22,CIN,NBA,C,20,0,108,6,14.3,0.419,0,0,0,6,14.3,0.419,0.7,2.3,0.286,0,0,10.3,1.3,0,0,0,5.7,12.7
Zaid Abdul-Aziz,1968-69,22,MIL,NBA,C,29,0,837,5.4,14.9,0.363,0,0,0,5.4,14.9,0.363,2.9,4.6,0.642,0,0,16.3,1.4,0,0,0,4.2,13.8
