Pau Gasol,"$19,285,850"
George Hill,"$8,000,000"
Joakim Noah,"$11,100,000"
Derrick Williams,"$5,016,960"
Randy Foye,"$3,000,000"
Robbie Hummel,"$490,180"
Mike Miller,"$1,399,507"
Draymond Green,"$875,000"
Kyle Lowry,"$6,210,000"
Carlos Boozer,"$15,300,000"
Jannero Pargo,"$884,293"
Raymond Felton,"$3,637,073"
Austin Daye,"$947,907"
Thaddeus Young,"$8,600,000"
Kevin Love,"$14,693,906"
Nikola Vucevic,"$1,793,520"
Aaron Brooks,"$1,701,618"
Chauncey Billups,"$2,500,000"
Jodie Meeks,"$1,500,000"
Jordan Hamilton,"$1,169,880"
Isaiah Thomas,"$884,293"
Jared Sullinger,"$1,365,720"
Paul Millsap,"$9,500,000"
Avery Bradley,"$2,511,432"
Joe Johnson,"$21,466,718"
Will Barton,"$788,872"
James Jones,"$1,500,000"
DeMarcus Cousins,"$4,916,974"
Michael Carter-Williams,"$2,200,920"
Caron Butler,"$8,000,000"
Marc Gasol,"$14,860,523"
Tony Parker,"$12,500,000"
LeBron James,"$19,067,500"
Patrick Mills,"$1,133,950"
Shannon Brown,"$3,500,000"
Zach Randolph,"$17,800,000"
C.J. Leslie,"$490,180"
Luke Ridnour,"$4,320,000"
Enes Kanter,"$4,505,280"
Ty Lawson,"$10,786,517"
Wesley Matthews,"$6,875,480"
Tyler Honeycutt,"$100,000"
Sergey Karasev,"$1,467,840"
Mario Chalmers,"$4,000,000"
Reggie Evans,"$1,695,635"
James Southerland,"$132,637"
Dionte Christmas,"$490,180"
Jeff Adrien,"$916,099"
A.J. Price,"$884,293"
Khris Middleton,"$788,872"
Danny Granger,"$14,221,788"
Al-Farouq Aminu,"$3,749,602"
Al Horford,"$12,000,000"
Reggie Williams,"$473,954"
Maurice Williams,"$2,652,000"
Festus Ezeli,"$1,066,920"
James Johnson,"$634,610"
Amir Johnson,"$6,500,000"
Tyler Zeller,"$1,633,440"
Hasheem Thabeet,"$1,200,000"
Dorell Wright,"$3,000,000"
Chris Kaman,"$3,183,000"
Ersan Ilyasova,"$7,900,000"
O.J. Mayo,"$8,000,000"
Donatas Motiejunas,"$1,422,720"
John Lucas,"$1,600,000"
Jason Smith,"$2,500,000"
Brandon Rush,"$4,000,000"
Manu Ginobili,"$7,500,000"
Reggie Jackson,"$1,260,360"
Kevin Garnett,"$12,433,735"
Leandro Barbosa,"$100,000"
Courtney Lee,"$5,225,000"
Luol Deng,"$14,275,000"
