Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
1,Quincy Acy,PF,22,TOR,29,0,11.8,1.4,2.6,.560,0.0,0.1,.500,1.4,2.5,.562,1.1,1.3,.816,1.0,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4.0,788872.0
2,Jeff Adrien,PF,26,CHA,52,5,13.7,1.4,3.2,.429,0.0,0.0,.000,1.4,3.2,.434,1.3,1.9,.650,1.3,2.5,3.8,0.7,0.3,0.5,0.6,1.5,4.0,916099.0
3,Arron Afflalo,SF,27,ORL,64,64,36.0,6.2,14.1,.439,1.1,3.8,.300,5.1,10.4,.489,3.0,3.5,.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5,7562500.0
4,Josh Akognon,PG,26,DAL,3,0,3.0,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7,0
5,Cole Aldrich,C,24,TOT,45,0,8.6,1.0,1.8,.550,0.0,0.0,,1.0,1.8,.550,0.3,0.4,.600,0.7,2.0,2.7,0.2,0.1,0.5,0.5,1.3,2.2,884293.0
5,Cole Aldrich,C,24,HOU,30,0,7.1,0.8,1.4,.535,0.0,0.0,,0.8,1.4,.535,0.1,0.3,.444,0.4,1.5,1.9,0.2,0.1,0.3,0.5,1.4,1.7,884293.0
5,Cole Aldrich,C,24,SAC,15,0,11.7,1.4,2.5,.568,0.0,0.0,,1.4,2.5,.568,0.5,0.7,.727,1.2,3.0,4.2,0.2,0.1,0.9,0.6,1.3,3.3,884293.0
6,LaMarcus Aldridge,PF,27,POR,74,74,37.7,8.6,17.8,.484,0.0,0.2,.143,8.6,17.6,.488,3.8,4.7,.810,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,21.1,14128000.0
7,Lavoy Allen,C,23,PHI,79,37,21.1,2.6,5.7,.454,0.0,0.0,.000,2.6,5.7,.455,0.5,0.8,.717,2.0,3.0,5.0,0.9,0.3,0.7,0.7,2.3,5.8,3060000.0
8,Ray Allen,SG,37,MIA,79,0,25.8,3.7,8.2,.449,1.8,4.2,.419,1.9,4.0,.480,1.8,2.0,.886,0.5,2.2,2.7,1.7,0.8,0.2,1.3,1.6,10.9,3229050.0
