Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
1,Jeff Adrien,PF,25,HOU,8,63,11.2,.493,.438,.750,.000,9.1,31.6,20.3,2.4,0.0,2.4,8.6,16.8,106,103,0.1,0.1,0.1,.106
2,Arron Afflalo,SG,26,DEN,62,2086,14.7,.584,.534,.353,.316,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,116,111,4.7,0.6,5.3,.121
3,Blake Ahearn,PG,27,UTA,4,30,-7.3,.357,.357,.000,.643,0.0,7.7,3.8,5.2,0.0,0.0,26.3,28.4,57,113,-0.2,0.0,-0.2,-0.315
4,Solomon Alabi,C,23,TOR,14,122,14.2,.418,.361,.222,.000,14.6,30.4,22.6,4.1,0.9,6.0,11.2,17.2,95,98,0.0,0.2,0.2,.083
5,Cole Aldrich,C,23,OKC,26,173,17.7,.592,.524,.333,.000,9.2,21.6,15.8,2.7,2.4,6.7,15.7,14.9,113,96,0.3,0.4,0.6,.176
6,LaMarcus Aldridge,PF,26,POR,55,1994,22.7,.560,.513,.291,.012,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27.0,113,106,5.4,1.6,7.0,.169
7,Lavoy Allen,PF,22,PHI,41,624,12.7,.488,.473,.084,.000,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,104,98,0.4,1.2,1.6,.124
8,Ray Allen,SG,36,BOS,46,1565,14.8,.607,.566,.215,.475,1.1,9.2,5.3,11.8,1.7,0.4,11.2,18.6,111,101,2.5,2.2,4.7,.145
9,Tony Allen,SG,30,MEM,58,1525,15.7,.541,.478,.391,.058,7.4,10.6,8.9,8.3,3.6,1.8,15.2,18.4,106,100,1.7,2.5,4.2,.131
10,Morris Almond,SG,26,WAS,4,67,8.7,.382,.382,.176,.176,1.7,11.9,6.7,4.4,5.4,0.0,5.2,12.9,85,101,-0.1,0.1,0.0,.032
11,Al-Farouq Aminu,SF,21,NOH,66,1477,10.6,.481,.429,.312,.129,7.8,16.9,12.4,7.2,2.2,1.9,18.0,16.2,93,103,-0.4,1.8,1.4,.044
12,Louis Amundson,C,29,IND,60,753,11.5,.438,.430,.396,.000,14.1,19.0,16.6,3.0,1.9,4.6,15.6,17.3,92,99,-0.3,1.3,1.0,.062
13,Chris Andersen,C,33,DEN,32,486,18.9,.583,.546,.759,.000,11.9,23.3,17.8,1.8,2.0,7.4,10.6,14.8,119,99,1.0,0.8,1.9,.183
14,Alan Anderson,SF,29,TOR,17,461,8.7,.519,.472,.239,.430,2.1,6.5,4.3,9.5,0.6,0.5,13.7,18.6,99,110,0.1,0.2,0.3,.032
15,James Anderson,SG,22,SAS,51,603,8.8,.483,.434,.299,.391,3.1,11.8,7.5,9.6,0.7,0.2,13.2,17.2,97,107,0.1,0.4,0.5,.040
16,Ryan Anderson,PF,23,ORL,61,1964,21.2,.589,.548,.226,.557,13.0,14.7,13.8,5.1,1.4,1.0,6.4,21.2,124,105,7.0,1.9,8.9,.219
17,Carmelo Anthony,SF,27,NYK,55,1876,21.1,.525,.463,.358,.198,5.4,15.9,10.6,21.0,1.7,1.0,10.8,31.8,106,102,3.7,2.6,6.2,.160
18,Joel Anthony,C,29,MIA,64,1349,10.3,.598,.559,.467,.000,9.2,12.8,11.1,1.0,1.4,5.1,19.7,7.8,113,100,1.2,2.2,3.4,.122
19,Gilbert Arenas,PG,30,MEM,17,211,9.9,.526,.508,.156,.609,1.1,9.0,5.0,13.4,2.8,0.4,14.9,17.3,102,103,0.1,0.3,0.4,.088
20,Trevor Ariza,SF,26,NOH,41,1350,14.2,.496,.453,.253,.216,3.7,15.1,9.5,16.8,2.8,1.5,14.5,18.4,100,103,0.5,1.7,2.2,.078
