source,target,value
Charlie Villanueva,Will Bynum,3
Kent Bazemore,Pau Gasol,1
James Nunnally,John Jenkins,1
Richard Jefferson,Trey Burke,1
Lazar Hayward,Nazr Mohammed,1
George Hill,Leandro Barbosa,1
Andrew Nicholson,Doron Lamb,2
Perry Jones,Russell Westbrook,2
Alonzo Gee,Jarrett Jack,1
Ekpe Udoh,Mike Dunleavy,2
Dennis Horner,Deron Williams,1
Vladimir Radmanovic,Zaza Pachulia,1
Boris Diaw,Malcolm Thomas,2
Deron Williams,Kris Joseph,1
Joel Freeland,LaMarcus Aldridge,2
Darko Milicic,Terrence Williams,1
LeBron James,Rashard Lewis,2
Gerald Henderson,Jamario Moon,1
Greivis Vasquez,Jeff Foote,1
Armon Johnson,Wesley Matthews,1
Jeff Ayres,Tony Parker,1
Ben Uzoh,Samardo Samuels,1
Carl Landry,Jerome Dyson,1
Chase Budinger,Samuel Dalembert,1
Amar'e Stoudemire,Tyson Chandler,3
Cole Aldrich,Jimmer Fredette,1
Ramon Sessions,Semih Erden,1
D.J. White,Eduardo Najera,1
Jordan Hill,Patrick Patterson,1
Josh Akognon,O.J. Mayo,1
DeQuan Jones,Nikola Vucevic,1
E'Twaun Moore,Ronnie Price,1
Jeff Adrien,Justin Hamilton,1
Eric Dawson,Ike Diogu,1
JaJuan Johnson,Sean Williams,1
Nemanja Nedovic,Steve Blake,1
Arinze Onuaku,Brian Roberts,1
Damion James,Jerry Smith,1
Darryl Watkins,Gustavo Ayon,1
DeMarcus Cousins,Reggie Evans,1
Lavoy Allen,Roy Hibbert,1
Erik Murphy,Mike James,1
Paul Pierce,Shaun Livingston,1
Jerry Stackhouse,Kris Humphries,1
DeShawn Stevenson,Jannero Pargo,1
Danny Granger,Miles Plumlee,1
Kendrick Perkins,Royal Ivey,2
Gerald Wallace,Mirza Teletovic,1
Nikola Pekovic,Wayne Ellington,1
Andrew Bynum,Christian Eyenga,1
DeAndre Liggins,Norris Cole,1
Cole Aldrich,Earl Clark,1
Justin Hamilton,Toney Douglas,1
Byron Mullens,Sasha Vujacic,1
Jeremy Lin,Ronnie Brewer,1
Anthony Morrow,Dennis Horner,1
Arron Afflalo,Maurice Harkless,2
John Lucas,Mike Harris,1
Carmelo Anthony,Renaldo Balkman,1
Amar'e Stoudemire,Toure' Murry,1
Arnett Moultrie,Royal Ivey,1
James Jones,Roger Mason,1
Chris Johnson,Zach Randolph,1
Chase Budinger,Shabazz Muhammad,1
Beno Udrih,Ishmael Smith,2
Ricky Ledo,Shane Larkin,1
Daequan Cook,Nazr Mohammed,2
Arron Afflalo,E'Twaun Moore,2
Darius Morris,Jarvis Varnado,1
Andris Biedrins,Dorell Wright,1
Anthony Davis,Austin Rivers,2
Kelenna Azubuike,Vince Carter,1
Arron Afflalo,Beno Udrih,1
JaVale McGee,Kenneth Faried,3
Josh Harrellson,Steve Novak,1
Marcin Gortat,Michael Redd,1
Chris Johnson,Ed Davis,1
J.J. Redick,Larry Sanders,1
Jordan Crawford,Maurice Evans,1
Daniel Orton,Glen Davis,1
Corey Maggette,Viacheslav Kravtsov,1
Darius Johnson-Odom,Evan Turner,1
Aaron Brooks,Chandler Parsons,2
Blake Ahearn,Jeremy Evans,1
Dwight Howard,Robert Covington,1
C.J. McCollum,Nicolas Batum,1
D.J. Kennedy,Tristan Thompson,1
Al-Farouq Aminu,Henry Sims,1
Brendan Haywood,Lamar Odom,1
Gordon Hayward,Malcolm Thomas,1
Eric Bledsoe,P.J. Tucker,1
Mike Conley,Tayshaun Prince,2
Anthony Morrow,Jason Smith,1
Justin Harper,Von Wafer,1
Dahntay Jones,Johan Petro,1
Brandon Davies,Eric Maynor,1
Iman Shumpert,Pablo Prigioni,2
Joel Anthony,Phil Pressey,1
Jason Kapono,Kobe Bryant,1
Chuck Hayes,Derrick Williams,1
Jared Jeffries,Steve Novak,1
Kentavious Caldwell-Pope,Luigi Datome,1
Greg Oden,Rashard Lewis,1
Daequan Cook,Terrence Jones,1
Ben Uzoh,Christian Eyenga,1
Ersan Ilyasova,Gustavo Ayon,1
Blake Griffin,Randy Foye,1
Anthony Randolph,Kosta Koufos,1
Al Jefferson,Josh McRoberts,1
Jeremy Tyler,Malcolm Thomas,1
Ben McLemore,Carl Landry,1
Alonzo Gee,Antawn Jamison,1
James Anderson,Thomas Robinson,1
Marvin Williams,Richard Jefferson,1
Matthew Dellavedova,Sergey Karasev,1
Joakim Noah,Mike James,2
Al Harrington,Doron Lamb,1
Hollis Thompson,Tony Wroten,1
Samuel Dalembert,Wayne Ellington,1
Brandon Rush,Chris Wright,1
Mike James,Tony Snell,1
C.J. Miles,Donald Sloan,1
Diante Garrett,Mike Harris,1
Dwight Howard,Robert Sacre,1
Bismack Biyombo,Matt Carroll,2
Henry Sims,Tony Wroten,1
Austin Daye,Will Bynum,2
Chris Johnson,Rudy Gay,1
Michael Redd,Shannon Brown,1
Rudy Gay,Wayne Ellington,1
Aron Baynes,Kawhi Leonard,2
Samardo Samuels,Shaun Livingston,1
Kris Joseph,Mirza Teletovic,1
Jorge Gutierrez,Marquis Teague,1
Gorgui Dieng,Ronny Turiaf,1
Darington Hobson,Mike Dunleavy,1
Charles Jenkins,Keith Benson,1
J.J. Hickson,Kenneth Faried,1
Sam Young,Tyler Hansbrough,1
Hamady N'Diaye,Roger Mason,1
Jerome Jordan,Landry Fields,1
Evan Fournier,Jan Vesely,1
Metta World Peace,Steve Blake,2
Al Horford,Vladimir Radmanovic,1
Chris Smith,Pablo Prigioni,1
Eric Bledsoe,Markieff Morris,1
Carmelo Anthony,Dan Gadzuric,1
Jordan Hill,Luke Walton,1
J.J. Redick,Quentin Richardson,1
Jason Collins,Leandro Barbosa,1
Alan Anderson,James Johnson,1
Ronny Turiaf,Ryan Hollins,1
D.J. Augustin,Jamario Moon,1
Mike Dunleavy,Nazr Mohammed,1
Amar'e Stoudemire,Chris Smith,1
Omri Casspi,Shaun Livingston,1
Brian Roberts,Dominic McGuire,1
Kevin Durant,Nazr Mohammed,1
Jason Thompson,Royce White,1
Gilbert Arenas,Josh Selby,1
Cory Higgins,Ramon Sessions,1
Glen Davis,Victor Oladipo,1
Dante Cunningham,Greg Stiemsma,1
Brandon Davies,Jarvis Varnado,1
Keith Benson,Stephen Curry,1
Orlando Johnson,Reggie Evans,1
Jeremy Tyler,Kyle Korver,1
Shelden Williams,Sundiata Gaines,1
Anthony Randolph,Nikola Pekovic,1
Byron Mullens,Hollis Thompson,1
Chris Paul,Jamal Crawford,2
Eric Bledsoe,Ishmael Smith,1
Jamaal Tinsley,Josh Howard,1
Joel Anthony,Kris Humphries,1
Austin Daye,Josh Selby,1
Ivan Johnson,Johan Petro,1
Stephen Jackson,Tony Parker,2
Danny Granger,Louis Amundson,1
Jared Cunningham,Mike James,1
Dion Waiters,Sergey Karasev,1
J.J. Redick,Maalik Wayns,1
Corey Maggette,Khris Middleton,1
Rasheed Wallace,Solomon Jones,1
Brian Cook,Solomon Jones,1
Beno Udrih,Jamaal Franklin,1
Metta World Peace,Raymond Felton,1
Ivan Johnson,Jeremy Tyler,1
Arron Afflalo,Wilson Chandler,1
DeSagana Diop,Matt Carroll,2
Josh Selby,Tony Allen,2
Darius Johnson-Odom,Hollis Thompson,1
Eric Dawson,Manu Ginobili,1
Alec Burks,Kevin Murphy,1
Cory Joseph,James Anderson,2
Arinze Onuaku,Eric Gordon,1
Byron Mullens,Ramon Sessions,1
Corey Brewer,Quincy Miller,1
Jerryd Bayless,Leandro Barbosa,1
Avery Bradley,Brandon Bass,3
Chris Johnson,Rajon Rondo,1
Chris Kaman,Shawn Marion,1
Kyle Singler,Peyton Siva,1
Elton Brand,Xavier Silas,1
Damian Lillard,Thomas Robinson,1
MarShon Brooks,Mirza Teletovic,1
Austin Daye,Jason Maxiell,2
Chris Singleton,Edwin Ubiles,1
Sebastian Telfair,Steve Nash,1
David Lee,Stephen Curry,3
Solomon Jones,Tobias Harris,1
Ryan Anderson,Terrel Harris,1
Bernard James,O.J. Mayo,1
Klay Thompson,Kwame Brown,1
Luis Scola,Sebastian Telfair,1
Al Horford,Zaza Pachulia,2
Lavoy Allen,Shelvin Mack,1
Aaron Brooks,DeMarcus Cousins,1
Jared Cunningham,John Salmons,1
Devin Harris,Jamaal Tinsley,1
Kyrie Irving,Spencer Hawes,1
Chris Douglas-Roberts,Michael Kidd-Gilchrist,1
Joe Johnson,Willie Green,1
Casper Ware,Hollis Thompson,1
Anderson Varejao,Matthew Dellavedova,1
